frame,id,cx,cy,height,jersey_color
1,1,829,518,96,43
1,2,449,193,67,42
1,3,856,217,60,41
1,4,424,461,78,40
1,5,165,306,81,39
1,6,1111,394,98,41
1,7,718,105,46,43
1,8,900,150,53,43
1,9,387,185,63,41
1,10,739,228,67,41
1,11,1157,295,85,41
1,12,1254,178,64,42
1,13,556,474,92,41
1,14,570,119,51,39
1,15,582,70,39,60
1,16,650,258,75,39
1,13,517,474,89,40
1,17,498,514,13,39
1,16,650,257,75,39
2,1,839,514,95,42
2,6,1118,392,96,41
2,4,432,459,77,41
2,2,400,185,61,41
2,18,461,193,67,42
2,5,179,306,82,39
2,13,554,473,90,40
2,3,864,217,61,41
2,10,746,228,68,41
2,7,731,105,45,43
2,14,583,120,50,38
2,8,911,151,52,43
2,11,1167,297,85,41
2,12,1266,179,64,42
2,16,661,258,75,40
2,13,517,476,88,39
2,1,824,511,88,42
2,15,595,70,39,60
2,13,522,475,90,39
2,16,661,258,75,34
3,5,189,305,83,39
3,1,848,512,94,42
3,6,1121,391,95,41
3,18,474,193,67,42
3,2,413,185,61,42
3,10,756,228,69,41
3,4,437,458,81,40
3,14,594,120,51,40
3,3,876,218,62,41
3,8,922,150,51,43
3,7,744,105,45,41
3,13,553,473,88,36
3,11,1175,298,84,41
3,15,608,71,38,60
3,16,674,259,76,41
3,12,1273,183,60,41
3,13,519,472,81,40
3,19,523,489,60,39
3,20,492,508,18,39
4,3,888,216,63,41
4,1,855,507,88,42
4,6,1108,391,96,42
4,5,199,306,82,41
4,18,487,193,65,42
4,14,607,121,50,40
4,4,446,458,82,42
4,2,427,185,62,41
4,10,767,228,72,41
4,7,755,105,44,43
4,8,934,150,51,42
4,16,686,258,75,37
4,11,1181,298,83,41
4,13,553,472,86,37
4,13,520,474,80,39
4,20,489,507,18,39
4,15,621,72,37,60
5,5,208,306,82,41
5,10,777,229,72,41
5,3,899,217,64,41
5,6,1111,392,97,42
5,1,862,503,83,42
5,18,499,193,65,42
5,14,620,122,50,40
5,4,457,457,82,40
5,2,438,185,62,41
5,16,697,260,76,40
5,11,1190,298,83,41
5,8,947,151,52,42
5,7,767,105,46,43
5,15,633,71,38,60
5,13,555,473,90,39
5,13,517,472,76,39
5,20,487,505,17,39
6,3,908,216,63,41
6,1,868,503,87,42
6,14,633,121,49,41
6,10,788,229,73,41
6,18,511,193,66,41
6,5,215,307,80,40
6,4,462,456,85,42
6,6,1117,394,95,42
6,16,710,260,74,41
6,11,1201,298,84,41
6,8,959,151,54,42
6,2,449,184,61,42
6,19,519,467,60,40
6,7,778,105,44,43
6,13,562,470,89,39
6,15,645,70,38,60
6,13,521,476,79,40
6,19,560,491,50,39
6,21,485,508,10,41
7,1,877,501,88,42
7,10,799,230,72,41
7,18,522,192,66,42
7,14,644,121,48,41
7,3,918,217,64,41
7,8,972,151,54,42
7,5,222,306,80,39
7,11,1213,297,85,41
7,4,467,456,86,42
7,2,459,184,60,39
7,13,566,469,92,41
7,7,791,105,44,43
7,6,1123,395,95,42
7,16,721,261,74,41
7,15,657,70,38,60
7,13,523,480,78,40
7,16,721,261,74,41
8,4,473,454,85,42
8,1,886,500,92,42
8,3,930,217,65,41
8,11,1222,298,86,41
8,14,656,121,50,41
8,16,733,261,72,41
8,18,533,192,66,42
8,5,229,305,79,39
8,8,984,152,56,42
8,10,809,231,70,41
8,22,574,465,93,40
8,2,470,184,61,40
8,6,1137,392,89,42
8,23,668,70,42,31
8,13,527,481,78,40
8,7,804,105,44,43
9,11,1231,299,87,41
9,3,941,218,65,41
9,1,893,499,98,42
9,5,239,304,81,40
9,8,997,152,55,42
9,14,666,120,50,41
9,4,484,454,85,42
9,6,1137,393,94,42
